Title,Authors and Journal,Year,Cited by,Paper URL
"Lower incidence of respiratory infections among iron-deficient children in Kilimanjaro, Tanzania","K Wander, B Shell-Duncan, E Brindle",2017.0,17.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&citation_for_view=RQ8uyBsAAAAJ:hNSvKAmkeYkC
"Social support, nutrition and health among women in rural Bangladesh: complex tradeoffs in allocare, kin proximity and support network size","MK Shenk, A Morse, SM Mattison, R Sear, N Alam, R Raqib, A Kumar, ...",2021.0,12.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&citation_for_view=RQ8uyBsAAAAJ:urP0JZOBBUsC
Social norm coordination and readiness to change female genital cutting: Evidence from Senegambia,"K Wander, B Shell-Duncan",2020.0,11.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&citation_for_view=RQ8uyBsAAAAJ:wkm4DBaukwsC
"Buffered or impaired: maternal anemia, inflammation and breast milk macronutrients in northern Kenya","M Fujita, N Paredes Ruvalcaba, K Wander, M Corbitt, E Brindle",2019.0,11.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&citation_for_view=RQ8uyBsAAAAJ:cB__R-XWw9UC
A test of the optimal iron hypothesis among breastfeeding Ariaal mothers in northern Kenya,"M Fujita, K Wander",2017.0,10.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&citation_for_view=RQ8uyBsAAAAJ:QsKbpXNoaWkC
High‐altitude adaptations mitigate risk for hypertension and diabetes‐associated anemia,"K Wander, M Su, PM Mattison, CY Sum, CC Witt, MK Shenk, ...",2020.0,9.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&citation_for_view=RQ8uyBsAAAAJ:ujxm2eEBZHIC
Using evolutionary theory to hypothesize a transition from patriliny to matriliny and back again among the ethnic Mosuo of Southwest China,"SM Mattison, CY Sum, AZ Reynolds, GD Baca, T Blumenfield, ...",2021.0,7.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:GtqhT-R7ZnwC
In vitro stimulation of whole milk specimens: A field-friendly method to assess milk immune activity,"K Wander, M Fujita, R Spathis, S Li, D Armstrong, J Pechera, R Anyim, ...",2021.0,6.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:ZysSsiWj_g4C
"Hay fever, asthma, and eczema and early infectious diseases among children in Kilimanjaro, Tanzania","K Wander, B Shell‐Duncan, E Brindle, K O'Connor",2017.0,6.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:OzeSX8-yOCQC
Cultural evolution: Evolution of female genital cutting,K Wander,2017.0,6.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:ijdKiLOsEJMC
Context Specificity of “Market Integration” among the Matrilineal Mosuo of Southwest China,"SM Mattison, D Hare, NG MacLaren, AZ Reynolds, CY Sum, R Liu, ...",2022.0,5.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:nOiSByfp82kC
Biocultural strategies for measuring psychosocial stress outcomes in field-based research,"A Brewis, BA Piperata, HJF Dengah, WW Dressler, MA Liebert, ...",2021.0,5.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:tgTmbKTkO1IC
Cat ownership and rural residence are associated with lyme disease prevalence in the Northeastern United States,"A Roome, K Wander, RM Garruto",2022.0,4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:hEXC_dOfxuUC
